ORGANIZATION_NAME,SHELTER_ADDRESS,SECTOR,SERVICE_USER_COUNT,CAPACITY_ACTUAL_BED,UNOCCUPIED_BEDS,LAT,LON,requires_id,harm_reduction,accepts_walk_in,phone,hours,intake_preparation,bypass_pathway
COSTI Immigrant Services,100 Lippincott St,Mixed Adult,7,8,1,43.703,-79.417,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Canadian Mental Health Association - Toronto Branch,213 Carlton Street,Mixed Adult,9,10,1,43.6532,-79.3832,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Canadian Mental Health Association - Toronto Branch,213 Carlton Street,Mixed Adult,14,15,1,43.6532,-79.3832,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Christie Ossington Neighbourhood Centre,973 Lansdowne Ave,Men,41,41,0,43.7563,-79.588,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Christie Ossington Neighbourhood Centre,850 Bloor St W,Men,30,30,0,43.6615,-79.4929,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
"Christie Refugee Welcome Centre, Inc.",,Youth,9,12,3,43.7815,-79.2752,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
City of Toronto,38 Bathurst St,Men,65,68,3,43.6532,-79.3832,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
City of Toronto,38 Bathurst St,Men,48,48,0,43.6532,-79.3832,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
City of Toronto,76 Church St,Men,53,53,0,43.6532,-79.3832,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
City of Toronto,705 Progress Ave,Men,100,100,0,43.6532,-79.3832,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
City of Toronto,3306 Kingston Rd,Mixed Adult,93,93,0,43.6532,-79.3832,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
City of Toronto,731 Runnymede Rd,Men,62,62,0,43.6532,-79.3832,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
City of Toronto,339 George St,Men,53,82,29,43.6532,-79.3832,False,True,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
City of Toronto,339 George St,Men,121,121,0,43.6532,-79.3832,False,True,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
City of Toronto,339 George St,Men,22,22,0,43.6532,-79.3832,False,True,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
City of Toronto,339 George St,Men,102,102,0,43.6532,-79.3832,False,True,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
City of Toronto,129 Peter St,Mixed Adult,34,35,1,43.6532,-79.3832,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
City of Toronto,674 Dundas St W,Women,87,87,0,43.6532,-79.3832,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Cornerstone Place,616 Vaughan Rd,Men,28,28,0,43.6498,-79.3801,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Covenant House Toronto,18 Fourteenth Street,Youth,62,62,0,43.6431,-79.3927,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Covenant House Toronto,20 Gerrard St E,Youth,1,2,1,43.6431,-79.3927,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Covenant House Toronto,158 Madison Ave.,Youth,10,10,0,43.6431,-79.3927,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Covenant House Toronto,20 Gerrard St E,Youth,94,94,0,43.6431,-79.3927,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Covenant House Toronto,20 Gerrard St E,Youth,9,9,0,43.6431,-79.3927,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Covenant House Toronto,21 McGill St,Youth,27,28,1,43.6431,-79.3927,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Dixon Hall,2714 Danforth Ave,Mixed Adult,61,61,0,43.697,-79.5432,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Eva's Initiatives,60 Brant St,Youth,49,50,1,43.6512,-79.4501,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Eva's Initiatives,360 Lesmill Rd,Youth,38,40,2,43.6512,-79.4501,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
