organization_name,address,lat,lon,service_type,bed_count,phone,service_description,accepts_walk_in,requires_id,harm_reduction,bypass_pathway,intake_preparation
Turning Point,"321 Burnhamthorpe Rd, Etobicoke",43.639,-79.428,Withdrawal Management,32,416-239-7921,Walk-in withdrawal management for alcohol and drugs. Bed-based detox.,True,False,True,"If no beds, ask for day treatment referral. Say you need withdrawal support.",Arrive with any medications. Intake takes 30 min. You will be assessed by a nurse.
St. Joseph's Health Centre,"30 The Queensway, Etobicoke",43.6355,-79.4547,Crisis Stabilization Unit,12,416-530-6486,Mental health crisis stabilization. Short-term bed-based support.,True,True,True,"If full, ask for community mental health referral. CAMH accepts walk-ins 24/7.",Tell intake you are in crisis. You will see a social worker within 2 hours.
CAMH Crisis,"1001 Queen St W, Toronto",43.642,-79.4184,Crisis Stabilization Unit,20,416-535-8501,24/7 crisis services. Assessment and stabilization.,True,False,True,"If turned away, try St. Joseph or Toronto Western ER psych.",Walk in and say you need crisis support. No referral needed.
Sojourn House,"101 Ontario St, Toronto",43.6573,-79.368,Long-Term Residential Care,24,416-861-0242,Mental health and addiction residential program.,True,True,False,Waitlist is common. Ask for interim housing referral while waiting.,Bring any ID you have. Income support documents helpful but not required.
Bellwood Health Services,"1020 McNicoll Ave, Scarborough",43.8015,-79.288,Withdrawal Management,40,416-495-0926,Residential addiction treatment and withdrawal management.,False,True,True,Call before arriving — bed availability changes daily.,Residential 21-day program. Bring 2 weeks of clothing. No valuables.
Runnymede Healthcare Centre,"625 Runnymede Rd, Toronto",43.6656,-79.4726,Outpatient Counselling,0,416-762-7316,Outpatient mental health and addiction counselling.,True,False,True,Long waitlist for therapy. Ask for drop-in counselling instead.,First appointment is an intake assessment. Can take 90 minutes.
Centre for Addiction and Mental Health,"33 Russell St, Toronto",43.6493,-79.4188,Withdrawal Management,56,416-535-8501,Full-spectrum addiction and mental health services.,True,False,True,"If detox beds full, ask for medically supervised detox alternatives.",Medical intake required. Bring health card if you have one.
Serenity Place,"44 Boulton Ave, Toronto",43.6634,-79.3473,Long-Term Residential Care,16,416-778-5797,Women-specific recovery home. Long-term residential support.,False,False,True,Only accepts women and non-binary persons. Call intake first.,Interview required. Sober living environment — abstinence based.
Greenwood Centre,"2601 Kingston Rd, Scarborough",43.7108,-79.2582,Outpatient Counselling,0,416-264-7111,Addiction counselling and harm reduction services.,True,False,True,Walk-in counselling Tuesdays 9 AM - 12 PM.,"Bring referral if you have one, but not required."
Ted Rogers Centre,"200 Dundas St E, Toronto",43.6551,-79.3701,Outpatient Counselling,0,416-597-5765,Community mental health support and case management.,True,False,True,"If no space, ask for referral to other ACT teams.",Regular office hours. Drop-in assessment on Mondays.
